System Category,System Name,Vendor,Primary Function,Dependencies,Patient Care Impact,Downtime Tolerance,Recovery Priority,Risk Level,Backup Procedures,Contact Info,Notes
EHR Core,Electronic Health Records,Epic/Cerner/Meditech,Patient data management,"Network, Database, Authentication",Critical - All patient care,< 30 minutes,1 - Critical,High,Automated backup every 4 hours,IT Helpdesk: ext. 5555,Primary system for all patient care
EHR Database,SQL Server Database,Microsoft,Data storage for EHR,"Storage Array, Network",Critical - Data loss risk,< 15 minutes,1 - Critical,High,Real-time replication + nightly backup,DBA: ext. 5556,Contains all patient data
Authentication,Active Directory,Microsoft,User authentication,"Domain Controllers, Network",High - Access control,< 1 hour,2 - High,Medium,Secondary domain controller,Security Team: ext. 5557,Controls all system access
Network Core,Core Network Switch,Cisco,Network infrastructure,"Power, Internet Connection",Critical - All connectivity,< 15 minutes,1 - Critical,High,Redundant switches + UPS,Network Admin: ext. 5558,Main network backbone
Internet Connection,Primary ISP,Verizon,External connectivity,"Physical infrastructure",High - External access,< 2 hours,2 - High,Medium,Secondary ISP failover,Network Admin: ext. 5558,Required for cloud services
Power Primary,Electrical System,Utility Company,Primary power source,"Utility grid, Transformers",Critical - All systems,< 5 minutes,1 - Critical,High,Generator + UPS systems,Facilities: ext. 5559,Powers all critical systems
Backup Generator,Emergency Generator,Caterpillar,Emergency power,"Fuel supply, Maintenance",Critical - Power backup,< 2 minutes,1 - Critical,Medium,Weekly testing + fuel monitoring,Facilities: ext. 5559,Provides emergency power
PACS System,Picture Archiving,GE Healthcare,Medical imaging storage,"Network, Storage, EHR Integration",High - Diagnostic imaging,< 2 hours,2 - High,Medium,Offsite image backup,Imaging IT: ext. 5560,Radiology department critical
Laboratory System,Lab Information System,Cerner,Lab results management,"EHR Interface, Network",High - Lab results,< 1 hour,2 - High,Medium,Manual processes available,Lab IT: ext. 5561,Critical for lab operations
Pharmacy System,Medication Management,Epic Willow,Prescription management,"EHR Integration, Network",Critical - Medication safety,< 30 minutes,1 - Critical,High,Paper backup procedures,Pharmacy IT: ext. 5562,Patient safety critical
Nurse Call System,Patient Communication,Hill-Rom,Patient-nurse communication,"Network, Phone System",High - Patient safety,< 1 hour,2 - High,Medium,Manual call procedures,Facilities: ext. 5559,Patient safety system
Monitoring Systems,Patient Monitoring,Philips,Vital signs monitoring,"Network, Central Station",Critical - ICU/CCU,< 15 minutes,1 - Critical,High,Standalone mode capability,Biomed: ext. 5563,Life support monitoring
Workstations,Clinical Workstations,Dell,User interface access,"Network, Authentication, EHR",High - User access,< 1 hour,2 - High,Medium,Mobile devices backup,IT Support: ext. 5555,Primary user interface
Mobile Devices,Tablets and Phones,Apple/Android,Portable access,"WiFi, Authentication, Apps",Medium - Mobility,< 4 hours,3 - Medium,Low,Desktop workstation backup,IT Support: ext. 5555,Provides mobility
WiFi Network,Wireless Infrastructure,Cisco,Wireless connectivity,"Network Core, Access Points",Medium - Wireless access,< 2 hours,3 - Medium,Low,Wired connections available,Network Admin: ext. 5558,Supports mobile devices
Telehealth Platform,Video Conferencing,Zoom/Teams,Remote consultations,"Internet, Authentication",Medium - Remote care,< 4 hours,3 - Medium,Low,Phone consultations,Telehealth IT: ext. 5564,COVID response tool
Backup Systems,Data Backup Solution,Veeam,Data protection,"Storage, Network",Critical - Data recovery,< 8 hours,1 - Critical,Medium,Offsite backup validation,Backup Admin: ext. 5565,Disaster recovery critical
Storage Array,SAN Storage,NetApp,Centralized storage,"Network, Power",Critical - Data storage,< 30 minutes,1 - Critical,High,RAID protection + replication,Storage Admin: ext. 5566,Stores all critical data
Phone System,VoIP Phones,Cisco,Voice communication,"Network, Phone Server",High - Communication,< 1 hour,2 - High,Medium,Cell phone backup,Telecom: ext. 5567,Critical communication
Security Cameras,Video Surveillance,Avigilon,Physical security,"Network, Storage, Power",Low - Security monitoring,< 24 hours,4 - Low,Low,Security guard rounds,Security: ext. 5568,Physical security
Access Control,Badge System,HID,Physical access control,"Network, Controllers",Medium - Physical security,< 2 hours,3 - Medium,Low,Key backup procedures,Security: ext. 5568,Controls building access
HVAC System,Climate Control,Johnson Controls,Environmental control,"Power, Network",Medium - Environment,< 4 hours,3 - Medium,Low,Manual controls available,Facilities: ext. 5559,Patient comfort
Fire Safety,Fire Detection System,Simplex,Fire safety,"Power, Monitoring Station",Critical - Life safety,< 15 minutes,1 - Critical,High,Manual fire watch,Facilities: ext. 5559,Life safety system
UPS Systems,Battery Backup,APC,Short-term power backup,"Power, Battery Health",Critical - Power continuity,< 1 minute,1 - Critical,Medium,Generator backup,Facilities: ext. 5559,Prevents power interruption
Printers,Network Printers,HP/Lexmark,Document printing,"Network, Print Server",Medium - Documentation,< 2 hours,3 - Medium,Low,Alternative printer locations,IT Support: ext. 5555,Paper documentation
Electronic Signatures,Digital Signing,DocuSign,Document authentication,"Internet, Authentication",Medium - Document workflow,< 4 hours,3 - Medium,Low,Wet signature procedures,IT Support: ext. 5555,Legal document signing